DEPT,GR,Res,CALI,RHOB
2376,46.208,23.157,8.041,2.506
2376.5,45.727,24.203,8.12,2.491
2377,45.249,25.151,7.903,2.482
2377.5,44.57,25.526,7.714,2.478
2378,43.777,26.73,7.669,2.487
2378.5,41.442,29.041,7.683,2.509
2379,39.702,32.122,7.859,2.548
2379.5,37.801,37.653,7.833,2.607
2380,37.441,42.414,7.796,2.64
2380.5,37.554,45.475,8.027,2.633
2381,38.454,54.879,8.014,2.629
2381.5,39.237,56.81,7.937,2.632
2382,40.374,56.202,7.944,2.627
2382.5,41.039,54.871,8.043,2.635
2383,41.666,47.231,7.922,2.644
2383.5,42.723,36.879,7.997,2.656
2384,43.979,26.823,8.072,2.649
2384.5,46.892,21.094,7.991,2.643
2385,51.462,18.071,8.058,2.616
2385.5,55.164,16.51,8.089,2.6
2386,58.551,14.79,7.928,2.579
2386.5,65.922,13.15,7.971,2.538
2387,67.218,12.103,7.922,2.567
2387.5,65.948,11.668,7.981,2.582
2388,59.473,11.885,8.031,2.576
2388.5,56.43,12.398,7.914,2.563
2389,54.965,13.069,7.893,2.558
2389.5,54.999,13.74,8.012,2.547
2390,55.267,14.47,7.951,2.551
2390.5,55.144,15.379,8.011,2.546
2391,54.743,16.247,8.041,2.522
2391.5,54.54,17.175,8.012,2.5
2392,54.416,18.775,8.015,2.49
2392.5,54.332,19.901,8.078,2.469
2393,54.521,20.513,8.085,2.455
2393.5,55.424,20.966,7.988,2.459
2394,57.428,20.492,7.859,2.476
2394.5,58.803,19.385,7.762,2.476
2395,60.69,17.251,7.841,2.463
2395.5,62.106,15.472,7.804,2.465
2396,63.44,14.326,7.699,2.485
2396.5,64.538,13.2,7.67,2.496
2397,65.085,12.587,7.705,2.511
2397.5,64.881,12.211,7.892,2.539
2398,64.637,11.776,8.023,2.578
2398.5,65.106,11.538,8.241,2.575
2399,66.047,11.419,8.132,2.546
2399.5,66.986,11.399,8.056,2.533
2400,67.337,11.28,8.062,2.524
2400.5,69.144,10.568,7.957,2.515
2401,71.466,10.094,7.924,2.514
2401.5,73.236,9.619,7.983,2.528
2402,75.28,9.441,7.93,2.551
2402.5,77.364,9.184,7.957,2.547
2403,79.646,9.242,8.06,2.565
2403.5,84.216,9.558,7.975,2.571
2404,86.46,10.762,7.85,2.593
2404.5,86.966,11.71,7.961,2.6
2405,85.185,12.579,7.972,2.624
2405.5,79.3,13.724,7.927,2.645
2406,72.746,14.81,7.866,2.635
2406.5,67.059,16.785,8.013,2.622
2407,64.293,18.503,7.884,2.617
2407.5,63.379,19.372,7.898,2.623
2408,63.413,20.024,7.974,2.637
2408.5,62.381,19.391,7.889,2.625
2409,60.875,18.166,8.011,2.594
2409.5,59.686,17.553,8.039,2.579
2410,58.496,17.355,7.933,2.574
2410.5,57.466,17.176,7.997,2.588
2411,56.117,17.709,7.947,2.601
2411.5,56.348,17.906,8.07,2.608
2412,57.133,17.965,7.913,2.597
2412.5,58.427,17.352,7.976,2.609
2413,60.078,16.285,8.019,2.607
2413.5,61.807,15.652,7.906,2.602
2414,63.537,14.901,7.949,2.583
2414.5,65.266,13.794,7.988,2.591
2415,66.996,13.379,7.919,2.595
2415.5,69.83,12.746,7.934,2.583
2416,71.639,12.074,8.041,2.57
2416.5,73.368,11.639,8.112,2.561
2417,74.113,11.244,8.039,2.564
2417.5,73.908,10.868,7.974,2.578
2418,73.903,10.61,8.036,2.576
2418.5,75.12,10.452,8.06,2.581
2419,76.495,10.372,7.966,2.58
2419.5,76.685,10.372,7.954,2.566
2420,76.443,10.431,7.993,2.598
2420.5,75.293,10.509,7.987,2.621
2421,72.683,10.686,7.954,2.61
2421.5,71.375,10.883,8.001,2.587
2422,70.739,11.061,7.876,2.56
2422.5,70.536,11.1,7.939,2.549
2423,70.608,11.468,8.022,2.557
2423.5,71.785,11.604,7.949,2.579
2424,72.292,11.6,7.972,2.578
2424.5,72.642,11.536,7.947,2.572
2425,73.581,11.392,7.958,2.581
2425.5,74.286,11.207,7.989,2.586
2426,74.318,10.719,7.924,2.586
2426.5,73.918,10.474,7.947,2.578
2427,73.716,10.368,7.878,2.572
2427.5,74.852,10.224,7.961,2.582
2428,75.715,10.139,7.948,2.595
2428.5,76.615,10.136,7.891,2.607
2429,76.294,10.172,7.97,2.618
2429.5,75.895,10.188,7.904,2.625
2430,74.822,10.507,7.96,2.602
2430.5,72.647,11.166,8.079,2.596
2431,70.313,11.645,8.013,2.575
2431.5,69.281,12.044,7.928,2.575
2432,68.802,12.282,8.019,2.551
2432.5,68.442,12.278,8.026,2.542
2433,68.237,12.274,7.949,2.532
2433.5,69.02,12.23,8.016,2.551
2434,70.356,12.224,7.867,2.561
2434.5,70.903,12.382,8.006,2.553
2435,71.605,12.741,7.997,2.547
2435.5,71.955,13.4,7.868,2.562
2436,70.449,13.819,8.015,2.588
2436.5,68.076,14.158,7.93,2.564
2437,65.902,14.495,7.933,2.555
2437.5,63.606,14.572,8.036,2.569
2438,62.456,14.589,7.967,2.604
2438.5,62.569,14.342,7.93,2.627
2439,62.642,13.976,8.017,2.642
2439.5,63.189,13.329,7.939,2.629
2440,64.405,12.84,8.026,2.591
2440.5,66.134,12.716,8.158,2.556
2441,67.114,12.793,8.068,2.537
2441.5,66.556,13.553,7.999,2.548
2442,66.55,13.972,7.927,2.537
2442.5,66.545,14.371,8.037,2.533
2443,65.315,14.608,8.004,2.544
2443.5,64.679,14.806,7.955,2.558
2444,63.529,14.963,8.042,2.58
2444.5,62.377,15.141,8.053,2.6
2445,62.096,14.914,7.952,2.596
2445.5,63.233,14.286,8.031,2.586
2446,62.951,13.859,8.054,2.585
2446.5,62.473,13.291,7.953,2.586
2447,62.073,12.682,7.964,2.58
2447.5,61.671,12.589,7.975,2.567
2448,61.311,12.629,7.89,2.563
2448.5,60.238,12.895,8.021,2.564
2449,59.489,12.975,7.995,2.555
2449.5,58.541,12.887,7.935,2.54
2450,58.424,12.853,8.009,2.514
2450.5,58.628,12.836,7.989,2.513
2451,58.672,12.738,7.903,2.531
2451.5,58.598,12.6,7.958,2.545
2452,58.681,12.522,7.989,2.541
2452.5,59.082,12.444,7.956,2.529
2453,59.404,12.385,7.987,2.514
2453.5,59.091,12.307,8.006,2.517
2454,58.976,12.209,8.025,2.52
2454.5,59.696,12.11,8.012,2.519
2455,59.976,12.032,7.979,2.514
2455.5,60.774,11.955,7.958,2.52
2456,61.057,11.956,8.021,2.523
2456.5,60.9,12.019,8.024,2.524
2457,60.59,12.062,7.971,2.526
2457.5,61.308,12.063,7.918,2.512
2458,61.946,12.066,7.953,2.508
2458.5,61.991,12.068,8.004,2.523
2459,61.797,12.07,7.979,2.504
2459.5,62.157,12.072,7.957,2.484
2460,62.798,12.074,8.021,2.493
2460.5,62.565,12.056,8.068,2.507
2461,63.124,12.038,7.998,2.504
2461.5,63.683,12.02,7.929,2.492
2462,64.72,11.922,7.956,2.509
2462.5,65.359,11.864,8.039,2.516
2463,65.878,11.846,7.97,2.512
2463.5,66.518,11.828,7.901,2.519
2464,67.276,11.83,7.928,2.519
2464.5,67.876,11.832,7.995,2.53
2465,67.443,11.834,7.974,2.541
2465.5,66.298,11.817,7.957,2.525
2466,65.548,11.819,8.044,2.523
2466.5,64.998,11.58,7.971,2.534
2467,64.761,11.582,7.906,2.533
2467.5,63.38,11.785,7.985,2.529
2468,62.669,11.948,7.972,2.544
2468.5,63.151,12.09,8.035,2.558
2469,63.909,12.153,8.014,2.554
2469.5,64.508,12.155,7.957,2.545
2470,65.146,12.338,7.868,2.533
2470.5,67.929,12.38,7.938,2.538
2471,69.123,12.402,7.913,2.547
2471.5,69.602,12.063,8.052,2.554
2472,69.608,11.825,8.095,2.565
2472.5,69.413,11.766,8.006,2.558
2473,69.3,11.768,7.877,2.555
2473.5,70.296,12.051,7.872,2.543
2474,70.815,12.254,8.007,2.544
2474.5,70.821,12.317,7.974,2.566
2475,70.309,12.319,7.945,2.589
2475.5,69.163,12.34,7.96,2.596
2476,67.898,12.342,7.959,2.581
2476.5,66.157,12.346,7.862,2.579
2477,66.399,12.327,7.885,2.57
2477.5,67.555,12.068,7.96,2.555
2478,69.224,11.449,7.911,2.531
2478.5,69.545,11.149,7.858,2.529
2479,69.313,10.991,7.937,2.548
2479.5,68.445,10.972,7.924,2.562
2480,67.614,11.136,7.903,2.567
2480.5,67.938,11.359,7.961,2.576
2481,67.189,11.401,7.925,2.562
2481.5,67.628,11.423,7.892,2.567
2482,67.634,11.425,7.906,2.569
2482.5,67.796,11.427,7.825,2.554
2483,67.959,11.43,7.948,2.546
2483.5,68.242,11.432,7.891,2.549
2484,67.293,11.072,7.758,2.552
2484.5,66.307,10.974,7.813,2.564
2485,66.152,10.977,7.98,2.578
2485.5,66.991,10.978,8.107,2.567
2486,68.185,11.001,7.914,2.519
2486.5,68.346,11.023,7.877,2.528
2487,67.042,11.045,7.876,2.54
2487.5,65.738,11.047,7.719,2.514
2488,65.544,11.069,7.99,2.506
2488.5,66.144,11.071,7.925,2.51
2489,67.377,11.094,7.856,2.524
2489.5,67.779,11.096,7.979,2.541
2490,67.704,11.078,7.926,2.544
2490.5,66.083,11.08,7.92,2.528
2491,65.333,11.103,7.947,2.55
2491.5,65.337,11.165,7.886,2.576
2492,66.017,11.428,7.858,2.554
2492.5,66.061,11.631,7.908,2.541
2493,65.192,11.633,7.843,2.558
2493.5,64.285,11.675,7.89,2.557
2494,64.248,11.777,7.933,2.541
2494.5,65.165,11.819,7.9,2.529
2495,64.932,11.923,7.959,2.537
2495.5,64.221,11.944,7.934,2.551
2496,61.569,11.706,7.897,2.547
2496.5,61.693,11.587,7.792,2.531
2497,62.054,11.51,8.163,2.515
2497.5,61.938,11.511,8.114,2.524
2498,61.507,11.493,8.029,2.534
2498.5,63.584,11.455,7.9,2.546
2499,64.821,11.518,7.779,2.555
2499.5,66.138,11.641,7.914,2.55
2500,66.936,11.723,7.953,2.525
2500.5,67.812,11.785,7.888,2.529
2501,68.969,11.807,8.031,2.543
2501.5,69.807,11.81,7.941,2.536
2502,70.123,11.752,7.828,2.541
2502.5,70.441,11.613,7.979,2.565
2503,71.517,11.495,8.01,2.57
2503.5,73.234,11.196,7.953,2.584
2504,74.711,11.017,7.936,2.569
2504.5,74.669,10.739,7.991,2.567
2505,72.944,10.6,7.994,2.567
2505.5,71.34,10.462,7.905,2.557
2506,69.737,10.444,7.972,2.562
2506.5,67.933,10.526,8.015,2.578
2507,65.768,10.809,7.954,2.595
2507.5,63.203,11.474,7.833,2.588
2508,61.48,11.857,7.756,2.568
2508.5,59.355,12.522,7.923,2.568
2509,58.112,13.407,7.918,2.582
2509.5,56.868,14.514,7.989,2.563
2510,55.624,15.62,7.892,2.545
2510.5,54.54,16.706,7.722,2.533
2511,53.536,17.711,7.837,2.524
2511.5,53.093,18.757,7.969,2.515
2512,52.569,19.06,8.007,2.504
2512.5,52.766,19.906,7.939,2.488
2513,53.843,20.931,7.993,2.472
2513.5,53.88,21.877,7.944,2.458
2514,52.636,22.601,7.843,2.445
2514.5,52.592,23.246,7.954,2.437
2515,52.67,23.469,7.949,2.433
2515.5,52.587,23.491,7.868,2.44
2516,52.422,23.052,7.831,2.449
2516.5,52.94,22.793,7.93,2.461
2517,53.576,22.393,7.941,2.473
2517.5,53.493,21.412,7.844,2.471
2518,53.209,20.511,7.947,2.457
2518.5,53.566,19.128,7.95,2.462
2519,54.203,18.187,7.741,2.454
2519.5,55.32,17.527,7.86,2.439
2520,56.237,16.445,7.994,2.452
2520.5,57.434,15.424,7.942,2.462
2521,57.671,14.322,7.821,2.476
2521.5,58.148,13.661,7.991,2.481
2522,58.865,13.021,7.999,2.47
2522.5,58.901,12.702,7.926,2.464
2523,58.898,12.423,7.98,2.482
2523.5,59.895,12.064,7.947,2.504
2524,62.173,11.906,7.898,2.529
2524.5,63.77,11.727,7.985,2.553
2525,64.407,11.508,7.956,2.572
2525.5,65.484,11.33,7.963,2.587
2526,66.121,11.191,7.986,2.576
2526.5,65.597,11.193,7.877,2.563
2527,63.914,11.437,7.972,2.578
2527.5,62.31,11.499,8.075,2.591
2528,61.266,11.06,7.962,2.564
2528.5,60.982,10.941,7.997,2.541
2529,61.219,10.863,7.992,2.526
2529.5,60.936,10.785,7.871,2.509
2530,61.132,10.767,7.85,2.52
2530.5,63.61,10.729,7.989,2.518
2531,64.646,10.731,7.948,2.497
2531.5,64.884,10.773,7.962,2.509
2532,65.161,11.277,7.978,2.517
2532.5,65.237,11.661,7.844,2.533
2533,64.914,11.924,7.939,2.55
2533.5,64.431,12.327,7.918,2.551
2534,63.546,12.952,7.873,2.531
2534.5,62.783,14.018,7.916,2.518
2535,60.658,15.004,7.907,2.519
2535.5,59.055,15.889,7.838,2.521
2536,57.45,16.714,7.769,2.497
2536.5,56.166,17.439,7.76,2.484
2537,54.923,18.404,7.879,2.5
2537.5,53.839,19.028,7.81,2.483
2538,52.595,19.673,7.801,2.488
2538.5,50.471,20.096,7.888,2.478
2539,49.227,20.419,7.783,2.467
2539.5,48.383,20.884,7.894,2.494
2540,48.18,21.227,7.889,2.48
2540.5,47.696,21.832,7.884,2.475
2541,47.453,22.536,7.887,2.485
2541.5,47.81,23.983,7.857,2.471
2542,47.807,24.869,7.809,2.426
2542.5,48.083,26.437,7.843,2.398
2543,48.08,27.242,7.91,2.407
2543.5,48.077,27.283,7.905,2.41
2544,48.113,26.804,7.948,2.422
2544.5,48.51,25.221,7.903,2.43
2545,49.827,23.316,7.906,2.427
2545.5,51.144,20.347,7.925,2.424
2546,52.942,17.941,7.868,2.423
2546.5,55.099,15.595,7.755,2.417
2547,56.856,13.71,7.738,2.45
2547.5,58.613,12.889,7.877,2.484
2548,60.331,12.209,7.88,2.536
2548.5,61.888,11.448,7.879,2.555
2549,62.646,11.149,7.915,2.563
2549.5,63.162,11.492,7.935,2.564
2550,63.039,12.438,7.874,2.547
2550.5,62.515,13.344,7.874,2.541
2551,61.872,14.249,7.933,2.541
2551.5,61.028,14.652,7.92,2.549
2552,60.544,15.096,7.801,2.522
2552.5,60.261,14.677,7.812,2.503
2553,60.058,14.377,7.923,2.488
2553.5,59.894,13.998,7.779,2.478
2554,61.571,13.459,7.921,2.49
2554.5,63.849,12.176,7.853,2.524
2555,66.646,11.235,7.924,2.554
2555.5,68.244,10.354,7.94,2.563
2556,68.521,10.215,7.939,2.548
2556.5,68.477,10.057,7.919,2.555
2557,68.554,10.099,7.902,2.548
2557.5,70.271,10.342,7.886,2.565
2558,72.189,10.424,7.897,2.586
2558.5,73.786,10.447,7.912,2.585
2559,75.103,10.449,7.912,2.6
2559.5,76.18,10.37,7.903,2.605
2560,76.497,9.771,7.903,2.59
2560.5,76.293,9.652,7.922,2.584
2561,75.05,9.835,7.929,2.573
2561.5,73.206,10.48,7.917,2.567
2562,69.921,10.703,7.845,2.568
2562.5,67.636,10.826,7.936,2.548
2563,65.873,10.948,7.947,2.534
2563.5,63.308,11.251,7.931,2.536
2564,58.303,11.614,7.874,2.554
2564.5,54.939,11.978,7.886,2.549
2565,53.255,12.402,7.945,2.499
2565.5,51.611,12.504,7.9,2.413
2566,49.966,12.586,7.932,2.407
2566.5,48.362,12.569,7.971,2.409
2567,47.199,12.45,7.942,2.411
2567.5,46.075,12.252,7.918,2.408
2568,45.392,12.294,7.937,2.411
2568.5,44.427,12.296,7.965,2.429
2569,45.144,12.298,7.944,2.432
2569.5,45.261,12.301,7.971,2.44
2570,45.017,12.303,7.935,2.453
2570.5,44.734,12.284,7.919,2.474
2571,44.692,12.146,7.962,2.476
2571.5,45.007,11.727,7.957,2.481
2572,45.165,11.468,7.949,2.49
2572.5,44.201,11.51,8.008,2.498
2573,43.357,11.612,7.987,2.494
2573.5,42.954,11.776,7.883,2.472
2574,43.43,11.758,7.855,2.464
2574.5,44.267,11.7,8.021,2.482
2575,45.584,11.561,8.06,2.504
2575.5,47.742,11.624,8,2.516
2576,50.38,11.867,8.012,2.511
2576.5,51.857,11.888,8.09,2.492
2577,51.814,11.891,8.078,2.483
2577.5,51.37,11.953,8.006,2.468
2578,51.567,11.975,8.005,2.479
2578.5,50.923,11.978,7.973,2.479
2579,48.799,11.999,8.004,2.48
2579.5,47.115,12.021,8.016,2.489
2580,46.472,11.863,7.991,2.495
2580.5,46.028,11.645,7.971,2.503
2581,46.585,11.466,7.982,2.495
2581.5,46.622,11.348,7.985,2.499
2582,46.618,11.33,7.957,2.499
2582.5,46.535,11.332,8.111,2.499
2583,45.771,11.354,8.17,2.494
2583.5,44.527,11.457,8.178,2.478
2584,42.843,11.579,8.07,2.466
2584.5,40.719,11.661,8.062,2.464
2585,40.076,11.684,7.989,2.478
2585.5,40.033,11.686,7.921,2.496
2586,40.228,11.487,8.02,2.481
2586.5,40.266,11.349,8,2.47
2587,40.383,11.01,7.912,2.474
2587.5,40.699,10.852,7.967,2.492
2588,41.216,11.115,7.93,2.494
2588.5,42.052,11.177,7.965,2.48
2589,43.329,11.239,7.933,2.489
2589.5,44.486,11.242,7.964,2.522
2590,45.365,11.203,7.944,2.55
2590.5,46.601,11.105,8.043,2.554
2591,46.317,11.087,8.026,2.523
2591.5,45.113,11.049,8.034,2.489
2592,43.949,10.83,8.061,2.454
2592.5,43.066,10.592,8.013,2.444
2593,43.023,10.513,7.965,2.455
2593.5,44.22,10.396,8.063,2.459
2594,44.697,10.378,8.082,2.453
2594.5,44.734,10.28,8.011,2.447
2595,44.89,10.2,8.002,2.453
2595.5,44.967,9.983,7.914,2.473
2596,44.283,9.924,8.021,2.48
2596.5,44.08,9.906,8.02,2.479
2597,44.836,9.748,7.976,2.484
2597.5,45.514,9.47,7.999,2.475
2598,46.271,9.351,7.947,2.469
2598.5,46.907,9.434,7.95,2.472
2599,46.624,9.436,7.977,2.465
2599.5,46.06,9.598,7.981,2.456
2600,46.017,10.283,8.004,2.449
2600.5,46.214,10.405,7.976,2.444
2601,47.291,10.93,7.999,2.446
2601.5,50.168,10.952,8.01,2.458
2602,52.566,10.914,7.99,2.472
2602.5,55.724,10.213,8.001,2.481
2603,59.162,9.493,7.977,2.485
2603.5,62.08,8.451,8.036,2.505
2604,65.678,8.614,8.035,2.529
2604.5,70.356,8.455,8.011,2.54
2605,80.077,7.936,7.991,2.547
2605.5,89.997,7.577,8.01,2.565
2606,92.955,7.318,7.997,2.582
2606.5,93.393,7.28,7.933,2.579
2607,92.508,7.402,8.012,2.57
2607.5,91.665,7.264,8.02,2.577
2608,92.341,7.326,7.943,2.593
2608.5,94.739,7.108,7.931,2.607
2609,97.377,7.15,8.034,2.612
2609.5,98.015,6.931,8.005,2.617
2610,98.211,6.512,7.965,2.602
2610.5,97.207,6.213,8.02,2.589
2611,97.204,5.814,7.992,2.581
2611.5,97.44,5.635,7.975,2.592
2612,98.677,5.416,8.074,2.601
2612.5,99.195,5.278,8.089,2.586
2613,99.112,5.139,8.053,2.567
2613.5,98.947,5.182,8.024,2.556
2614,98.544,5.545,8.131,2.565
2614.5,97.5,5.928,8.067,2.595
2615,96.056,6.513,8.067,2.611
2615.5,92.411,6.836,7.967,2.598
2616,89.207,7.501,7.911,2.585
2616.5,87.083,7.583,8.053,2.589
2617,85.319,7.445,7.969,2.598
2617.5,84.755,7.266,7.937,2.607
2618,86.432,6.947,8.051,2.616
2618.5,87.75,6.608,8.241,2.627
2619,88.107,6.691,8.257,2.619
2619.5,88.103,6.131,8.18,2.585
2620,88.38,5.551,8.108,2.567
2620.5,88.776,5.352,8.033,2.563
2621,88.614,5.133,8.048,2.572
2621.5,88.291,5.055,7.995,2.588
2622,88.822,4.857,7.943,2.588
2622.5,91.127,4.738,8.022,2.576
2623,93.947,4.66,8.049,2.598
2623.5,97.76,4.582,7.953,2.603
2624,100,4.584,7.949,2.559
2624.5,100,4.706,8.06,2.568
2625,100,5.131,8.011,2.579
2625.5,100,5.312,7.959,2.573
2626,100,5.656,8.066,2.592
2626.5,100,6.121,7.898,2.584
2627,100,6.464,7.95,2.585
2627.5,100,6.747,7.949,2.593
2628,100,7.231,7.917,2.606
2628.5,100,6.932,7.992,2.604
2629,100,6.512,7.915,2.591
2629.5,100,6.333,8.006,2.578
2630,100,6.216,7.978,2.584
2630.5,100,6.218,7.878,2.594
2631,100,6.22,8.001,2.586
2631.5,100,5.921,7.873,2.58
2632,98.548,5.782,7.904,2.585
2632.5,96.729,5.644,8.015,2.595
2633,93.124,5.546,8.018,2.587
2633.5,89.637,5.447,8.01,2.578
2634,87.816,5.329,8.053,2.574
2634.5,86.115,5.071,8.04,2.571
2635,85.129,4.892,8.004,2.584
2635.5,84.895,4.713,8.035,2.59
2636,87.913,4.615,8.051,2.596
2636.5,88.791,4.457,8.006,2.588
2637,88.993,4.439,7.934,2.583
2637.5,87.61,4.541,7.834,2.574
2638,86.385,4.804,8.06,2.585
2638.5,87.102,5.188,8.123,2.599
2639,88.177,5.25,8.023,2.599
2639.5,88.738,5.253,7.983,2.621
2640,88.742,5.174,8.054,2.626
2640.5,87.319,5.136,7.966,2.611
2641,86.132,5.138,8.037,2.629
2641.5,86.336,5.26,8.005,2.627
2642,86.736,5.685,7.992,2.604
2642.5,86.146,5.827,7.976,2.564
2643,83.732,6.01,7.975,2.59
2643.5,82.03,6.334,7.939,2.602
2644,80.646,6.777,7.895,2.589
2644.5,78.469,7.241,7.973,2.573
2645,77.877,7.745,7.985,2.596
2645.5,77.883,7.907,7.948,2.598
2646,78.918,7.909,7.912,2.557
2646.5,80.708,7.61,7.911,2.558
2647,82.418,7.311,8.03,2.578
2647.5,84.882,7.173,8.041,2.574
2648,87.227,7.195,8.025,2.566
2648.5,89.849,7.077,8.072,2.563
2649,91.678,6.978,8.004,2.595
2649.5,93.785,6.841,7.992,2.583
2650,98.39,6.823,8.019,2.569
