DEPT,GR,Res,CALI,RHOB
2108.5,36.039,26.057,7.442,2.44
2109,36.744,26.073,7.553,2.474
2109.5,37.528,25.869,7.616,2.512
2110,38.033,25.642,7.643,2.512
2110.5,38.028,25.599,7.642,2.504
2111,37.825,25.434,7.621,2.489
2111.5,37.462,25.208,7.592,2.448
2112,37.496,24.802,7.586,2.439
2112.5,38.791,24.436,7.63,2.399
2113,41.192,24.451,7.744,2.384
2113.5,42.527,24.749,7.839,2.377
2114,43.941,25.409,7.71,2.379
2114.5,45.237,25.607,7.593,2.387
2115,46.257,25.16,7.588,2.39
2115.5,46.252,23.445,7.671,2.418
2116,45.849,23.018,7.658,2.452
2116.5,45.016,22.753,7.649,2.463
2117,44.378,22.99,7.648,2.479
2117.5,43.859,23.147,7.619,2.47
2118,44.721,23.585,7.626,2.45
2118.5,45.03,24.809,7.633,2.432
2119,45.102,25.348,7.652,2.403
2119.5,44.15,25.365,7.619,2.382
2120,42.092,25.382,7.674,2.406
2120.5,40.785,24.913,7.885,2.4
2121,40.74,23.581,7.892,2.398
2121.5,40.615,22.833,7.798,2.426
2122,41.99,23.372,7.75,2.45
2122.5,42.259,22.522,7.717,2.469
2123,45.014,21.331,7.739,2.439
2123.5,48.322,20.643,7.914,2.428
2124,49.303,20.034,7.861,2.425
2124.5,49.693,20.212,7.832,2.42
2125,45.898,20.47,7.851,2.437
2125.5,44.67,20.788,7.974,2.422
2126,44.547,21.206,8.017,2.405
2126.5,44.42,21.303,7.98,2.397
2127,44.415,21.359,7.911,2.422
2127.5,44.487,20.852,7.918,2.442
2128,44.797,20.123,7.941,2.462
2128.5,45.541,19.677,7.92,2.427
2129,45.574,19.088,7.891,2.418
2129.5,46.515,18.743,7.902,2.416
2130,46.469,18.236,7.953,2.427
2130.5,47.567,17.687,7.956,2.44
2131,49.809,17.442,7.951,2.433
2131.5,50.277,17.58,7.934,2.427
2132,51.257,18.501,7.937,2.443
2132.5,51.646,19.141,7.964,2.456
2133,51.836,19.581,7.963,2.485
2133.5,51.91,20.22,7.913,2.515
2134,51.272,20.639,7.921,2.514
2134.5,51.582,21.822,7.983,2.454
2135,51.459,22,7.95,2.41
2135.5,51.453,22.318,7.841,2.419
2136,51.997,22.454,7.792,2.41
2136.5,53.371,22.048,7.791,2.389
2137,55.811,22.184,7.71,2.39
2137.5,56.319,21.959,7.693,2.389
2138,56.391,20.908,7.756,2.383
2138.5,55.872,21.206,7.875,2.372
2139,55.394,21.826,7.774,2.364
2139.5,55.545,22.305,7.705,2.396
2140,56.329,22.966,7.708,2.411
2140.5,57.506,22.62,7.859,2.41
2141,58.525,19.415,7.842,2.42
2141.5,61.517,14.841,7.825,2.42
2142,63.246,12.643,7.824,2.438
2142.5,64.936,10.224,7.802,2.466
2143,67.494,9.233,7.766,2.488
2143.5,69.698,8.928,7.78,2.475
2144,71.113,8.844,7.939,2.502
2144.5,72.999,8.899,8.014,2.511
2145,72.48,9.821,8.017,2.48
2145.5,66.951,10.884,8.016,2.478
2146,60.199,12.088,8.015,2.484
2146.5,58.932,13.332,8.022,2.475
2147,57.821,14.918,7.989,2.433
2147.5,55.448,17.752,7.976,2.408
2148,53.668,18.594,7.995,2.389
2148.5,52.635,18.852,7.946,2.388
2149,52.629,18.827,7.929,2.393
2149.5,54.477,18.199,7.976,2.391
2150,55.694,17.552,7.987,2.422
2150.5,55.767,17.205,7.986,2.427
2151,55.405,16.94,7.945,2.415
2151.5,55.28,16.855,7.96,2.424
2152,55.274,16.851,7.983,2.43
2152.5,55.231,16.847,7.949,2.442
2153,54.868,16.883,7.965,2.415
2153.5,54.823,16.899,8.007,2.384
2154,54.303,16.895,8.011,2.374
2154.5,53.706,16.912,8.021,2.387
2155,53.268,17.229,8.02,2.393
2155.5,52.866,17.386,7.963,2.402
2156,52.466,17.543,7.958,2.408
2156.5,51.906,17.418,8.009,2.416
2157,52.059,17.434,8.02,2.441
2157.5,52.606,17.391,8.007,2.461
2158,52.322,17.848,7.99,2.461
